student_id,total_risk,risk_rank
pjxyqxbj242,0.5015,381
pjxyqxbj332,0.5015,382
pjxyqxbj353,0.5015,383
pjxyqxbj361,0.5015,384
pjxyqxbj391,0.5015,385
pjxyqxbj415,0.5015,386
pjxyqxbj428,0.5015,387
pjxyqxbj432,0.5015,388
pjxyqxbj448,0.5015,389
pjxyqxbj454,0.5015,390
pjxyqxbj533,0.5015,391
pjxyqxbj537,0.5015,392
pjxyqxbj544,0.5015,393
pjxyqxbj562,0.5015,394
pjxyqxbj571,0.5015,395
pjxyqxbj574,0.5015,396
pjxyqxbj576,0.5015,397
pjxyqxbj578,0.5015,398
pjxyqxbj581,0.5015,399
pjxyqxbj589,0.5015,400
pjxyqxbj626,0.5015,401
pjxyqxbj638,0.5015,402
pjxyqxbj659,0.5015,403
pjxyqxbj662,0.5015,404
pjxyqxbj682,0.5015,405
pjxyqxbj701,0.5015,406
pjxyqxbj703,0.5015,407
pjxyqxbj714,0.5015,408
pjxyqxbj722,0.5015,409
pjxyqxbj729,0.5015,410
pjxyqxbj736,0.5015,411
pjxyqxbj737,0.5015,412
pjxyqxbj740,0.5015,413
pjxyqxbj765,0.5015,414
pjxyqxbj791,0.5015,415
pjxyqxbj798,0.5015,416
pjxyqxbj807,0.5015,417
pjxyqxbj828,0.5015,418
pjxyqxbj841,0.5015,419
pjxyqxbj857,0.5015,420
pjxyqxbj861,0.5015,421
pjxyqxbj862,0.5015,422
pjxyqxbj868,0.5015,423
pjxyqxbj871,0.5015,424
pjxyqxbj872,0.5015,425
pjxyqxbj889,0.5015,426
pjxyqxbj909,0.5015,427
pjxyqxbj914,0.5015,428
pjxyqxbj915,0.5015,429
pjxyqxbj918,0.5015,430
pjxyqxbj922,0.5015,431
pjxyqxbj927,0.5015,432
pjxyqxbj954,0.5015,433
pjxyqxbj972,0.5015,434
pjxyqxbj973,0.5015,435
pjxyqxbj978,0.5015,436
pjxyqxbj979,0.5015,437
pjxyqxbj980,0.5015,438
pjxyqxbj984,0.5015,439
pjxyqxbj991,0.5015,440
pjxyqxbk011,0.5015,441
pjxyqxbk021,0.5015,442
pjxyqxbk022,0.5015,443
pjxyqxbk027,0.5015,444
pjxyqxbk031,0.5015,445
pjxyqxbk036,0.5015,446
pjxyqxbk047,0.5015,447
pjxyqxbk048,0.5015,448
pjxyqxbk052,0.5015,449
pjxyqxbk090,0.5015,450
pjxyqxbk095,0.5015,451
pjxyqxbk147,0.5015,452
pjxyqxbk148,0.5015,453
pjxyqxbk165,0.5015,454
pjxyqxbk210,0.5015,455
pjxyqxbk211,0.5015,456
pjxyqxbk230,0.5015,457
pjxyqxbk272,0.5015,458
pjxyqxbk276,0.5015,459
pjxyqxbk316,0.5015,460
pjxyqxbk318,0.5015,461
pjxyqxbk334,0.5015,462
pjxyqxbk336,0.5015,463
pjxyqxbk341,0.5015,464
pjxyqxbk358,0.5015,465
pjxyqxbk368,0.5015,466
pjxyqxbk382,0.5015,467
pjxyqxbk399,0.5015,468
pjxyqxbk411,0.5015,469
pjxyqxbk429,0.5015,470
pjxyqxbk469,0.5015,471
pjxyqxbk474,0.5015,472
pjxyqxbk484,0.5015,473
pjxyqxbk513,0.5015,474
pjxyqxbk519,0.5015,475
pjxyqxbk522,0.5015,476
pjxyqxbk528,0.5015,477
pjxyqxbk531,0.5015,478
pjxyqxbk537,0.5015,479
pjxyqxbk551,0.5015,480
pjxyqxbk553,0.5015,481
pjxyqxbk566,0.5015,482
pjxyqxbk581,0.5015,483
pjxyqxbk583,0.5015,484
pjxyqxbk590,0.5015,485
pjxyqxbk596,0.5015,486
pjxyqxbk609,0.5015,487
pjxyqxbk637,0.5015,488
pjxyqxbk643,0.5015,489
pjxyqxbk649,0.5015,490
pjxyqxbk676,0.5015,491
pjxyqxbk683,0.5015,492
pjxyqxbk706,0.5015,493
pjxyqxbk715,0.5015,494
pjxyqxbk718,0.5015,495
pjxyqxbk720,0.5015,496
pjxyqxbk772,0.5015,497
pjxyqxbk799,0.5015,498
pjxyqxbk825,0.5015,499
pjxyqxbk836,0.5015,500
pjxyqxbk852,0.5015,501
pjxyqxbk902,0.5015,502
pjxyqxbk903,0.5015,503
pjxyqxbk907,0.5015,504
pjxyqxbk947,0.5015,505
pjxyqxbk954,0.5015,506
pjxyqxbk962,0.5015,507
pjxyqxbk991,0.5015,508
pjxyqxbk995,0.5015,509
pjxyqxbl687,0.5015,510
pjxyqxbl714,0.5015,511
pjxyqxbl730,0.5015,512
pjxyqxbl750,0.5015,513
pjxyqxbl751,0.5015,514
pjxyqxbl753,0.5015,515
pjxyqxbl766,0.5015,516
pjxyqxbl780,0.5015,517
pjxyqxbl794,0.5015,518
pjxyqxbl807,0.5015,519
pjxyqxbl827,0.5015,520
pjxyqxbl869,0.5015,521
pjxyqxbl874,0.5015,522
pjxyqxbl911,0.5015,523
pjxyqxbl912,0.5015,524
pjxyqxbl925,0.5015,525
pjxyqxbl937,0.5015,526
pjxyqxbl975,0.5015,527
pjxyqxbl982,0.5015,528
pjxyqxbk373,0.5007,529
pjxyqwbj598,0.4975,530
pjxyqwbj764,0.4901,531
pjxyqwbk701,0.4879,532
pjxyqwbj965,0.4875,533
pjxyqwbj754,0.4861,534
pjxyqwbj358,0.4847,535
pjxyqwbj418,0.4847,536
pjxyqwbj515,0.4847,537
pjxyqxbj031,0.4847,538
pjxyqxbj032,0.4847,539
pjwrqxbj901,0.4833,540
pjxyqwbk652,0.481,541
pjxyqxbk854,0.48,542
pjxyqwbk951,0.4729,543
pjxyqwbj660,0.4666,544
pjxuqwbj879,0.4658,545
pjxyqxbj501,0.4654,546
pjxyqwbk531,0.455,547
pjxuqwbj694,0.4525,548
pjxqqxbj949,0.445,549
pjxyqxbk722,0.445,550
pjxyqwbj158,0.4432,551
pjxrqxbj963,0.4337,552
pjxyqwbj859,0.4335,553
pjxyqxbk894,0.4325,554
pjxxxxbj910,0.4312,555
pjxrqxbj892,0.4275,556
pjxyqxbj893,0.4275,557
pjxyqxbk916,0.4262,558
pjwrqxbj905,0.4236,559
pjxyqwbk808,0.4225,560
pjxyqwbj077,0.4217,561
pjxyqwbj591,0.4204,562
pjxyqxbj027,0.4195,563
pjxyqxbj683,0.4146,564
pjxyqwbj116,0.4128,565
pjxyqwbj701,0.4128,566
pjxyqxbk661,0.4127,567
pjxyqxbj640,0.41,568
pjxyqxbj911,0.4092,569
pjxyqxbk503,0.4075,570
pjxuqwbj450,0.4056,571
pjxyqxbk732,0.4013,572
pjxyqwbj188,0.4001,573
pjxyqxbk579,0.3984,574
pjxyqxbj754,0.3955,575
pjxyqwbk925,0.3954,576
pjxyqxbj271,0.389,577
pjxyqwbk949,0.3852,578
pjxyqwbj492,0.3848,579
pjvyzxbj998,0.3825,580
pjxyqwbj564,0.3756,581
pjxyqwbk900,0.3728,582
pjxyqwbj456,0.3713,583
pjxyqxbk477,0.364,584
pjwrqxbj919,0.36,585
pjxyqxbk074,0.3575,586
pjxyqxbk918,0.3545,587
pjxyqwbk855,0.3531,588
pjxyqxbl739,0.3325,589
pjxyqxbk198,0.33,590
pjxsqxbj969,0.3292,591
pjxyqwbj849,0.3275,592
pjxyqxbj749,0.325,593
pjxpqxbj978,0.3225,594
pjxyqwbj868,0.3225,595
pjxuqwbj538,0.3225,596
pjxwxxbj993,0.3225,597
pjxyqwbj763,0.3177,598
pjxuqwbj980,0.315,599
pjxyqwbk668,0.3139,600
pjxyqxbj636,0.31,601
pjxyqwbj452,0.309,602
pjxyqwbk638,0.3077,603
pjxyqxbk342,0.305,604
pjxyqxbk162,0.3025,605
