request_id,feature_group,model_name,threshold_strategy,threshold,auc,f1,recall,precision,selected_threshold,selection_reason
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.55,0.844130503494462,0.6604527296937417,0.6601597160603372,0.6607460035523979,False,
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.6,0.844130503494462,0.6556759302873293,0.6175687666370896,0.6987951807228916,False,
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.65,0.844130503494462,0.6402841197361745,0.5598935226264419,0.7476303317535545,False,
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.7,0.844130503494462,0.6053059014618299,0.49600709849157054,0.7763888888888889,False,
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.75,0.844130503494462,0.5689555683785343,0.43744454303460517,0.8135313531353136,False,
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.8,0.844130503494462,0.525609756097561,0.3824312333629104,0.8401559454191033,False,
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.85,0.844130503494462,0.45751633986928103,0.3105590062111801,0.8684863523573201,False,
study_train_evolution_request,topk_selected,LightGBM,recall_priority,0.9,0.844130503494462,0.35050071530758226,0.21739130434782608,0.9040590405904059,False,
study_train_evolution_request,topk_selected,RandomForest,default_0_5,0.5,0.8418693263972741,0.6663793103448276,0.6858917480035492,0.6479463537300922,True,fixed threshold 0.5
study_train_evolution_request,topk_selected,RandomForest,best_f1,0.1,0.8418693263972741,0.5510204081632653,0.9822537710736469,0.3829124870287098,False,
study_train_evolution_request,topk_selected,RandomForest,best_f1,0.15,0.8418693263972741,0.5803713527851458,0.9707187222715173,0.4139235716988271,False,
study_train_evolution_request,topk_selected,RandomForest,best_f1,0.2,0.8418693263972741,0.5997725980670836,0.9361135758651287,0.4412379757423672,False,
study_train_evolution_request,topk_selected,RandomForest,best_f1,0.25,0.8418693263972741,0.6235438381361128,0.9023957409050577,0.47634660421545666,False,
study_train_evolution_request,topk_selected,RandomForest,best_f1,0.3,0.8418693263972741,0.6473526473526473,0.8624667258207631,0.5181236673773987,False,
study_train_evolution_request,topk_selected,RandomForest,best_f1,0.35,0.8418693263972741,0.6640541503384396,0.8269742679680568,0.5547619047619048,False,
study_train_evolution_request,topk_selected,RandomForest,best_f1,0.4,0.8418693263972741,0.6578449905482041,0.771960958296362,0.5731225296442688,False,
study_train_evolution_request,topk_selected,RandomForest,best_f1,0.45,0.8418693263972741,0.6672019269369731,0.7373558118899733,0.6092375366568915,True,maximized validation F1
study_train_evolution_request,topk_selected,RandomForest,best_f1,0.5,0.8418693263972741,0.6663793103448276,0.6858917480035492,0.6479463537300922,False,
study_train_evolution_request,topk_selected,RandomForest,best_f1,0.55,0.8418693263972741,0.6470313230481534,0.614019520851819,0.6837944664031621,False,
study_train_evolution_request,topk_selected,RandomForest,best_f1,0.6,0.8418693263972741,0.6323161580790395,0.5607808340727596,0.7247706422018348,False,
study_train_evolution_request,topk_selected,RandomForest,best_f1,0.65,0.8418693263972741,0.6091586794462194,0.5075421472937001,0.7616511318242344,False,
study_train_evolution_request,topk_selected,RandomForest,best_f1,0.7,0.8418693263972741,0.58111927642736,0.45607808340727596,0.8006230529595015,False,
study_train_evolution_request,topk_selected,RandomForest,best_f1,0.75,0.8418693263972741,0.5481747456612807,0.40638864241348716,0.8419117647058824,False,
