sid,term_id,avg_score,avg_gpa,fail_flag,learning_score,learning_score_rank
pjxyqwbj856,2022-2023-T1,75.125,3.2375,1,31.635820455605586,13043
pjxyqwbj857,2022-2023-T1,69.27272727272727,2.618181818181818,1,28.323150316060484,15661
pjxyqwbj859,2022-2023-T1,86.38461538461539,3.723076923076923,0,36.35052292146404,4128
pjxyqwbj864,2022-2023-T1,80.0,3.3375,0,33.32673607610327,10851
pjxyqwbj865,2022-2023-T1,89.875,3.8125,0,36.40907620467527,3976
pjxyqwbj867,2022-2023-T1,76.54545454545455,3.3181818181818183,1,33.237051331676795,11001
pjxyqwbj868,2022-2023-T1,83.77777777777777,3.533333333333333,0,34.16370063291243,9296
pjxyqwbj869,2022-2023-T1,83.0,3.5875,0,34.4492797670287,8704
pjxyqwbj870,2022-2023-T1,85.77777777777777,3.6333333333333337,0,36.255387773435636,4328
pjxyqwbj871,2022-2023-T1,82.0909090909091,3.5545454545454547,0,34.41031176765524,8790
pjxyqwbj872,2022-2023-T1,84.375,3.5625,0,34.57542608202958,8472
pjxyqwbj873,2022-2023-T1,84.125,3.5875,0,34.684306596525865,8218
pjxyqwbj876,2022-2023-T1,85.54545454545455,3.6999999999999997,0,36.08523463542119,4712
pjxyqwbj877,2022-2023-T1,88.72727272727273,3.790909090909091,0,37.11153046392877,2787
pjxyqwbj883,2022-2023-T1,75.4,3.18,1,31.644533988889226,13040
pjxyqwbj884,2022-2023-T1,89.375,3.775,0,35.64424615411749,5813
pjxyqwbj885,2022-2023-T1,87.76923076923077,3.7384615384615385,0,36.916328746643586,3051
pjxyqwbj886,2022-2023-T1,88.75,3.7916666666666665,0,37.26252662148355,2631
pjxyqwbj888,2022-2023-T1,53.6,2.2399999999999998,1,24.560144146730437,18578
pjxyqwbj889,2022-2023-T1,87.71428571428571,3.742857142857143,0,36.2087741564116,4427
pjxyqwbj890,2022-2023-T1,90.22222222222223,3.811111111111111,0,36.20889085512993,4426
pjxyqwbj895,2022-2023-T1,82.625,3.1625,1,32.45220172634202,12096
pjxyqwbj896,2022-2023-T1,87.9,3.78,0,36.56415580311879,3674
pjxyqwbj897,2022-2023-T1,76.18181818181819,3.2818181818181817,1,33.01756750088566,11318
pjxyqwbj902,2022-2023-T1,89.625,3.8125,0,35.93330775123776,5075
pjxyqwbj903,2022-2023-T1,84.33333333333333,3.533333333333333,0,34.02022492972035,9581
pjxyqwbj904,2022-2023-T1,86.0,3.69,0,36.631197936141284,3528
pjxyqwbj905,2022-2023-T1,88.8,3.7700000000000005,0,35.84360766136003,5310
pjxyqwbj907,2022-2023-T1,84.4,3.5799999999999996,0,35.06026745245821,7286
pjxyqwbj910,2022-2023-T1,87.38461538461539,3.7,0,36.67615241580055,3443
pjxyqwbj912,2022-2023-T1,74.66666666666667,3.1333333333333333,1,31.41298829045804,13255
pjxyqwbj913,2022-2023-T1,74.0,3.0181818181818185,1,30.293135815227522,14299
pjxyqwbj914,2022-2023-T1,76.45454545454545,2.8636363636363638,1,30.454398157135923,14159
pjxyqwbj917,2022-2023-T1,87.5,3.725,0,36.540827042625295,3711
pjxyqwbj922,2022-2023-T1,89.66666666666667,3.7777777777777777,0,35.99147412081851,4926
pjxyqwbj923,2022-2023-T1,87.7,3.7700000000000005,0,36.71555453598682,3374
pjxyqwbj924,2022-2023-T1,80.63636363636364,3.5090909090909093,0,34.475650344950814,8659
pjxyqwbj925,2022-2023-T1,85.28571428571429,3.685714285714286,0,34.33459241796282,8964
pjxyqwbj926,2022-2023-T1,85.44444444444444,3.6999999999999997,0,34.47632864258572,8657
pjxyqwbj927,2022-2023-T1,87.55555555555556,3.7666666666666666,0,36.42325776556788,3943
pjxyqwbj928,2022-2023-T1,87.2,3.72,0,35.16529765400009,7022
pjxyqwbj929,2022-2023-T1,83.72727272727273,3.527272727272727,0,35.40548160544955,6433
pjxyqwbj930,2022-2023-T1,87.27272727272727,3.7181818181818183,0,36.13264992443497,4597
pjxyqwbj932,2022-2023-T1,89.83333333333333,3.8000000000000003,0,36.03918581349071,4813
pjxyqwbj933,2022-2023-T1,85.1,3.72,0,36.04690994503856,4793
pjxyqwbj935,2022-2023-T1,83.57142857142857,3.6142857142857143,0,35.13338527301049,7111
pjxyqwbj936,2022-2023-T1,85.0,3.6100000000000003,0,35.46648077466805,6264
pjxyqwbj937,2022-2023-T1,80.18181818181819,3.2,1,32.82298608572339,11620
pjxyqwbj939,2022-2023-T1,85.5,3.6625,0,34.40443556069808,8801
pjxyqwbj940,2022-2023-T1,86.25,3.7125,0,35.729556882236146,5608
pjxyqwbj941,2022-2023-T1,87.3,3.7699999999999996,0,37.19572447570333,2693
pjxyqwbj944,2022-2023-T1,86.9,3.72,0,36.40933683385385,3974
pjxyqwbj945,2022-2023-T1,89.8,3.81,0,37.09124048007514,2812
pjxyqwbj946,2022-2023-T1,89.375,3.8,0,36.11607206093557,4643
pjxyqwbj947,2022-2023-T1,88.77777777777777,3.755555555555555,0,35.47936903514105,6225
pjxyqwbj949,2022-2023-T1,89.6923076923077,3.8076923076923075,0,37.242744974214816,2651
pjxyqwbj950,2022-2023-T1,87.5,3.75,0,36.401878599372644,4002
pjxyqwbj955,2022-2023-T1,84.18181818181819,3.5727272727272723,0,34.76237141718094,8029
pjxyqwbj958,2022-2023-T1,73.63636363636364,2.7454545454545456,1,30.349692055172262,14253
pjxyqwbj961,2022-2023-T1,84.76923076923077,3.5999999999999996,0,31.449451306725386,13229
pjxyqwbj965,2022-2023-T1,87.57142857142857,3.757142857142857,0,35.922068553932746,5110
pjxyqwbj966,2022-2023-T1,85.9,3.7,0,36.19170430222444,4465
pjxyqwbj967,2022-2023-T1,82.875,3.2375,1,32.20832897740912,12420
pjxyqwbj971,2022-2023-T1,87.0,3.6799999999999997,0,36.0190018152342,4859
pjxyqwbj977,2022-2023-T1,88.0909090909091,3.7545454545454544,0,36.54814899921507,3700
pjxyqwbj979,2022-2023-T1,84.54545454545455,3.5545454545454547,0,34.460564879764924,8684
pjxyqwbj985,2022-2023-T1,87.0,3.7636363636363637,0,36.261956948037444,4315
pjxyqwbj986,2022-2023-T1,83.42857142857143,3.4857142857142853,0,34.298141548063384,9035
pjxyqwbj988,2022-2023-T1,84.63636363636364,3.6363636363636362,0,35.287864454501815,6731
pjxyqwbj989,2022-2023-T1,87.0,3.7399999999999998,0,36.22109128780272,4398
pjxyqwbj991,2022-2023-T1,85.14285714285714,3.6714285714285713,0,34.852657149565516,7808
pjxyqwbj993,2022-2023-T1,82.18181818181819,3.4181818181818184,0,34.652161468419926,8287
pjxyqwbj998,2022-2023-T1,84.44444444444444,3.6555555555555554,0,35.25035229156592,6824
pjxyqwbk504,2022-2023-T1,71.33333333333333,2.888888888888889,1,29.295325241654893,15076
pjxyqwbk505,2022-2023-T1,90.16666666666667,3.8000000000000003,0,36.13062715100232,4608
pjxyqwbk509,2022-2023-T1,85.44444444444444,3.688888888888889,0,34.72042377158068,8135
pjxyqwbk510,2022-2023-T1,87.22222222222223,3.7333333333333334,0,35.11505314919892,7149
pjxyqwbk511,2022-2023-T1,71.33333333333333,2.9444444444444446,1,29.67052519002352,14798
pjxyqwbk513,2022-2023-T1,82.33333333333333,3.3833333333333333,0,33.829994071631916,9944
pjxyqwbk514,2022-2023-T1,90.16666666666667,3.8166666666666664,0,36.83983342707087,3165
pjxyqwbk519,2022-2023-T1,88.1,3.78,0,36.87292908523473,3109
pjxyqwbk520,2022-2023-T1,85.66666666666667,3.6666666666666665,0,33.72815143977372,10148
pjxyqwbk521,2022-2023-T1,87.5,3.7375,0,36.06254580668086,4758
pjxyqwbk523,2022-2023-T1,93.0,3.9,0,36.76382062715428,3290
