sid,term_id,cluster
pjxrqxbj919,2020-2021-T1,3
pjxrqxbj928,2020-2021-T1,1
pjxrqxbj930,2020-2021-T1,1
pjxrqxbj937,2020-2021-T1,1
pjxrqxbj939,2020-2021-T1,1
pjxrqxbj942,2020-2021-T1,1
pjxrqxbj943,2020-2021-T1,3
pjxrqxbj944,2020-2021-T1,1
pjxrqxbj945,2020-2021-T1,1
pjxrqxbj947,2020-2021-T1,1
pjxrqxbj951,2020-2021-T1,1
pjxrqxbj952,2020-2021-T1,1
pjxrqxbj954,2020-2021-T1,1
pjxrqxbj955,2020-2021-T1,3
pjxrqxbj957,2020-2021-T1,3
pjxrqxbj958,2020-2021-T1,1
pjxrqxbj961,2020-2021-T1,1
pjxrqxbj962,2020-2021-T1,1
pjxrqxbj963,2020-2021-T1,1
pjxrqxbj969,2020-2021-T1,1
pjxrqxbj971,2020-2021-T1,1
pjxrqxbj972,2020-2021-T1,1
pjxrqxbj973,2020-2021-T1,1
pjxrqxbj978,2020-2021-T1,1
pjxrqxbj981,2020-2021-T1,1
pjxrqxbj983,2020-2021-T1,1
pjxrqxbj988,2020-2021-T1,1
pjxrqxbj990,2020-2021-T1,1
pjxrqxbj992,2020-2021-T1,1
pjxrqxbj994,2020-2021-T1,3
pjxrqxbj996,2020-2021-T1,1
pjxsqxbj751,2020-2021-T1,3
pjxsqxbj752,2020-2021-T1,3
pjxsqxbj758,2020-2021-T1,1
pjxsqxbj760,2020-2021-T1,3
pjxsqxbj764,2020-2021-T1,3
pjxsqxbj765,2020-2021-T1,1
pjxsqxbj768,2020-2021-T1,3
pjxsqxbj771,2020-2021-T1,3
pjxsqxbj772,2020-2021-T1,3
pjxsqxbj774,2020-2021-T1,3
pjxsqxbj777,2020-2021-T1,3
pjxsqxbj778,2020-2021-T1,3
pjxsqxbj779,2020-2021-T1,3
pjxsqxbj780,2020-2021-T1,3
pjxsqxbj784,2020-2021-T1,3
pjxsqxbj786,2020-2021-T1,3
pjxsqxbj787,2020-2021-T1,3
pjxsqxbj788,2020-2021-T1,1
pjxsqxbj789,2020-2021-T1,3
pjxsqxbj790,2020-2021-T1,3
pjxsqxbj792,2020-2021-T1,3
pjxsqxbj796,2020-2021-T1,3
pjxsqxbj800,2020-2021-T1,3
pjxsqxbj801,2020-2021-T1,3
pjxsqxbj807,2020-2021-T1,1
pjxsqxbj808,2020-2021-T1,1
pjxsqxbj809,2020-2021-T1,3
pjxsqxbj810,2020-2021-T1,3
pjxsqxbj811,2020-2021-T1,1
pjxsqxbj812,2020-2021-T1,1
pjxsqxbj815,2020-2021-T1,3
pjxsqxbj816,2020-2021-T1,3
pjxsqxbj820,2020-2021-T1,3
pjxsqxbj821,2020-2021-T1,1
pjxsqxbj823,2020-2021-T1,3
pjxsqxbj824,2020-2021-T1,3
pjxsqxbj825,2020-2021-T1,1
pjxsqxbj826,2020-2021-T1,3
pjxsqxbj827,2020-2021-T1,3
pjxsqxbj829,2020-2021-T1,3
pjxsqxbj831,2020-2021-T1,3
pjxsqxbj834,2020-2021-T1,1
pjxsqxbj840,2020-2021-T1,1
pjxsqxbj843,2020-2021-T1,3
pjxsqxbj844,2020-2021-T1,3
pjxsqxbj849,2020-2021-T1,1
pjxsqxbj851,2020-2021-T1,3
pjxsqxbj856,2020-2021-T1,3
pjxsqxbj857,2020-2021-T1,1
pjxsqxbj859,2020-2021-T1,3
pjxsqxbj862,2020-2021-T1,3
pjxsqxbj863,2020-2021-T1,1
pjxsqxbj864,2020-2021-T1,3
pjxsqxbj867,2020-2021-T1,1
pjxsqxbj871,2020-2021-T1,3
pjxsqxbj872,2020-2021-T1,1
pjxsqxbj873,2020-2021-T1,3
pjxsqxbj874,2020-2021-T1,1
pjxsqxbj876,2020-2021-T1,3
pjxsqxbj877,2020-2021-T1,3
pjxsqxbj880,2020-2021-T1,3
pjxsqxbj881,2020-2021-T1,3
pjxsqxbj882,2020-2021-T1,1
pjxsqxbj884,2020-2021-T1,3
pjxsqxbj885,2020-2021-T1,3
pjxsqxbj886,2020-2021-T1,1
pjxsqxbj887,2020-2021-T1,3
pjxsqxbj888,2020-2021-T1,3
pjxsqxbj892,2020-2021-T1,3
pjxsqxbj893,2020-2021-T1,3
pjxsqxbj894,2020-2021-T1,3
pjxsqxbj897,2020-2021-T1,3
pjxsqxbj899,2020-2021-T1,3
pjxsqxbj900,2020-2021-T1,3
pjxsqxbj904,2020-2021-T1,3
pjxsqxbj905,2020-2021-T1,3
pjxsqxbj906,2020-2021-T1,1
pjxsqxbj908,2020-2021-T1,1
pjxsqxbj909,2020-2021-T1,3
pjxsqxbj912,2020-2021-T1,3
pjxsqxbj916,2020-2021-T1,3
pjxsqxbj918,2020-2021-T1,3
pjxsqxbj920,2020-2021-T1,3
pjxsqxbj921,2020-2021-T1,3
pjxsqxbj922,2020-2021-T1,3
pjxsqxbj925,2020-2021-T1,1
pjxsqxbj927,2020-2021-T1,3
pjxsqxbj929,2020-2021-T1,3
pjxsqxbj932,2020-2021-T1,3
pjxsqxbj934,2020-2021-T1,3
pjxsqxbj936,2020-2021-T1,3
pjxsqxbj938,2020-2021-T1,1
pjxsqxbj939,2020-2021-T1,1
pjxsqxbj940,2020-2021-T1,1
pjxsqxbj941,2020-2021-T1,3
pjxsqxbj942,2020-2021-T1,3
pjxsqxbj944,2020-2021-T1,3
pjxsqxbj946,2020-2021-T1,3
pjxsqxbj949,2020-2021-T1,3
pjxsqxbj953,2020-2021-T1,3
pjxsqxbj954,2020-2021-T1,1
pjxsqxbj957,2020-2021-T1,3
pjxsqxbj962,2020-2021-T1,3
pjxsqxbj965,2020-2021-T1,3
pjxsqxbj966,2020-2021-T1,3
pjxsqxbj968,2020-2021-T1,3
pjxsqxbj969,2020-2021-T1,3
pjxsqxbj970,2020-2021-T1,3
pjxsqxbj971,2020-2021-T1,1
pjxsqxbj976,2020-2021-T1,3
pjxsqxbj980,2020-2021-T1,3
pjxsqxbj981,2020-2021-T1,3
pjxsqxbj982,2020-2021-T1,3
pjxsqxbj983,2020-2021-T1,3
pjxsqxbj984,2020-2021-T1,1
pjxsqxbj985,2020-2021-T1,3
pjxsqxbj986,2020-2021-T1,1
pjxsqxbj989,2020-2021-T1,3
pjxsqxbj994,2020-2021-T1,3
pjxsqxbj995,2020-2021-T1,1
pjxsqxbj996,2020-2021-T1,3
pjxsqxbj997,2020-2021-T1,1
pjxsqxbj998,2020-2021-T1,3
pjxtztbj985,2020-2021-T1,1
pjxtztbj986,2020-2021-T1,1
pjxtztbj987,2020-2021-T1,1
pjxtztbj989,2020-2021-T1,1
pjxtztbj990,2020-2021-T1,1
pjxtztbj996,2020-2021-T1,1
pjxtztbj997,2020-2021-T1,1
pjxtztbj998,2020-2021-T1,1
pjxtzxbj997,2020-2021-T1,1
pjxtzxfj978,2020-2021-T1,2
pjxtzxfj980,2020-2021-T1,2
pjxtzxfj981,2020-2021-T1,2
pjxtzxfj982,2020-2021-T1,2
pjxtzxfj983,2020-2021-T1,2
pjxtzxfj986,2020-2021-T1,2
pjxtzxfj994,2020-2021-T1,2
pjxuqwbj443,2020-2021-T1,1
pjxuqwbj445,2020-2021-T1,1
pjxuqwbj446,2020-2021-T1,1
pjxuqwbj449,2020-2021-T1,1
pjxuqwbj450,2020-2021-T1,1
pjxuqwbj454,2020-2021-T1,1
pjxuqwbj460,2020-2021-T1,3
pjxuqwbj461,2020-2021-T1,1
pjxuqwbj463,2020-2021-T1,3
pjxuqwbj468,2020-2021-T1,1
pjxuqwbj470,2020-2021-T1,3
pjxuqwbj472,2020-2021-T1,1
pjxuqwbj473,2020-2021-T1,1
pjxuqwbj474,2020-2021-T1,3
pjxuqwbj476,2020-2021-T1,3
pjxuqwbj477,2020-2021-T1,1
pjxuqwbj478,2020-2021-T1,3
pjxuqwbj479,2020-2021-T1,3
pjxuqwbj483,2020-2021-T1,1
pjxuqwbj485,2020-2021-T1,1
pjxuqwbj488,2020-2021-T1,3
pjxuqwbj489,2020-2021-T1,3
pjxuqwbj490,2020-2021-T1,1
