student_id,total_risk,risk_rank
pjxpqxbj967,0.4203,312
pjxyqxbj769,0.4202,313
pjxyqxbk307,0.4201,314
pjxuqwbj770,0.419,315
pjxuqwbj582,0.419,316
pjxyqxbj198,0.4179,317
pjxyqwbk631,0.4178,318
pjxyqxbk097,0.4174,319
pjxyqwbk698,0.4167,320
pjxyqxbj750,0.4165,321
pjxyqxbj679,0.416,322
pjxyqwbj656,0.4141,323
pjxyqxbj726,0.414,324
pjxpqxbj937,0.4139,325
pjxyqxbk582,0.4135,326
pjxwzxbj993,0.4134,327
pjxuqwbj528,0.4129,328
pjxwxxbj930,0.4128,329
pjxuqwbj818,0.4126,330
pjxyqxbk644,0.4124,331
pjxyqwbk889,0.4114,332
pjxyqwbj327,0.4106,333
pjxyqwbj085,0.4088,334
pjxyqxbk094,0.4075,335
pjxyqwbj191,0.4073,336
pjxyqxbj160,0.4073,337
pjxyqwbj847,0.4069,338
pjxuqwbj781,0.4059,339
pjxuqwbj450,0.4057,340
pjxyqxbl830,0.4056,341
pjxrqxbj973,0.4054,342
pjxyqwbk953,0.4049,343
pjxyqxbk043,0.4042,344
pjxyqwbj588,0.404,345
pjxyqxbj893,0.4038,346
pjxyqwbk583,0.4037,347
pjxuqwbj525,0.4033,348
pjxuqwbj750,0.4027,349
pjxrqxbj943,0.4022,350
pjxyqwbk826,0.4021,351
pjxyqxbk742,0.402,352
pjxuqwbj698,0.4013,353
pjxrqxbj955,0.4007,354
pjxuqwbj890,0.4005,355
pjxyqxbj507,0.4002,356
pjxuqwbj639,0.4001,357
pjxuqwbj705,0.3988,358
pjxyqwbk845,0.3985,359
pjxyqxbj895,0.3983,360
pjxyqwbj888,0.3981,361
pjxyqxbj681,0.3971,362
pjxuqwbj585,0.3961,363
pjxyqxbk733,0.3955,364
pjxrqxbj996,0.3954,365
pjxyqwbk620,0.3951,366
pjxyqxbl886,0.395,367
pjxyqxbl858,0.3947,368
pjxyqwbj555,0.3946,369
pjxsqxbj862,0.3939,370
pjxyqwbj205,0.3935,371
pjxuqwbj591,0.3934,372
pjxqqxbj964,0.3933,373
pjxyqxbl828,0.3929,374
pjxsqxbj877,0.3926,375
pjxrqxbj990,0.3926,376
pjxyqxbk399,0.3925,377
pjxyqxbj262,0.3919,378
pjxyqxbk125,0.3917,379
pjxyqxbl815,0.3914,380
pjxuqwbj804,0.3913,381
pjxsqxbj831,0.3908,382
pjxyqwbk668,0.3897,383
pjxyqwbj598,0.3896,384
pjxyqxbj869,0.3893,385
pjxyqxbj795,0.389,386
pjxyqwbk538,0.3887,387
pjxyqwbj691,0.3881,388
pjxyqwbj156,0.3879,389
pjxyqwbj356,0.3877,390
pjxuqwbj593,0.3876,391
pjxuqwbj538,0.3876,392
pjxyqxbk775,0.3876,393
pjxyqwbj754,0.3871,394
pjxyqwbj592,0.3858,395
pjxyqxbj857,0.3857,396
pjxyqxbk745,0.3856,397
pjxyqxbl817,0.3855,398
pjxyqwbj718,0.3855,399
pjxyqxbj512,0.3849,400
pjxuqwbj496,0.3849,401
pjxyqwbj760,0.3849,402
pjwrqxbj916,0.3848,403
pjxyqxbk302,0.384,404
pjxyqxbj760,0.3832,405
pjxsqxbj983,0.383,406
pjxyqwbk893,0.3829,407
pjxsqxbj857,0.3825,408
pjxuqwbj830,0.3823,409
pjxrqxbj898,0.3812,410
pjxyqwbj658,0.3812,411
pjxyqxbk031,0.3804,412
pjxyqwbj518,0.3802,413
pjxxxxbj941,0.3797,414
pjxyqxbk772,0.3794,415
pjxyqwbk951,0.3794,416
pjxqzxbj979,0.3792,417
pjwrqxbj948,0.3792,418
pjwtqxbj965,0.379,419
pjxuqwbj847,0.3788,420
pjxuqwbj679,0.3788,421
pjxyqxbl804,0.3785,422
pjxyqwbj380,0.3783,423
pjxyqwbk540,0.3783,424
pjxyqwbk996,0.3779,425
pjxyqxbj968,0.3777,426
pjxyqxbk731,0.3775,427
pjxyqxbk609,0.3774,428
pjxyqwbj522,0.377,429
pjxuqwbj445,0.3769,430
pjxyqxbk524,0.3762,431
pjxyqwbj454,0.3762,432
pjxyqwbj321,0.3761,433
pjxyqxbk495,0.3758,434
pjxyqwbk701,0.3755,435
pjxyqwbj340,0.3755,436
pjxyqxbl955,0.3754,437
pjxyqwbk808,0.3754,438
pjxyqwbj589,0.3752,439
pjwrqxbj898,0.3747,440
pjxyqwbj787,0.3744,441
pjxyqxbk294,0.3736,442
pjxyqwbj033,0.3734,443
pjxyqwbk824,0.3734,444
pjwrqxbj919,0.3734,445
pjxxxxbj970,0.3732,446
pjxyqxbk954,0.3731,447
pjxuqwbj490,0.3731,448
pjxyqxbj607,0.373,449
pjxyqxbk916,0.3729,450
pjxqzxbj985,0.3729,451
pjxqqxbj986,0.3726,452
pjxyqxbl759,0.3724,453
pjxyqxbj214,0.3723,454
pjwrqxbj918,0.3721,455
pjxyqxbk067,0.372,456
pjxyqxbj374,0.3717,457
pjxyqwbk919,0.3716,458
pjxuzvbj996,0.3716,459
pjxyqxbk780,0.3715,460
pjxyqwbj366,0.3715,461
pjxyqxbk201,0.3715,462
pjxyqxbk350,0.3712,463
pjxyqwbj671,0.3704,464
pjxyqxbl763,0.3703,465
pjxxxxbj955,0.3703,466
pjxuqwbj787,0.3703,467
pjxyqwbk542,0.3703,468
pjxyqwbj077,0.3699,469
pjxyqwbj174,0.3698,470
pjxyqwbj444,0.3697,471
pjxyqwbj785,0.3696,472
pjxyqxbj922,0.3696,473
pjxuqwbj796,0.3696,474
pjxyqxbk629,0.3695,475
pjxpqxbj927,0.3695,476
pjxyqxbk680,0.3695,477
pjxyqwbk541,0.3692,478
pjxwxxbj908,0.3688,479
pjxuqwbj574,0.3683,480
pjxyqxbl717,0.3682,481
pjxyqwbk521,0.3681,482
pjxyqwbj632,0.3681,483
pjxyqwbj347,0.368,484
pjxyqxbk520,0.3679,485
pjxyqwbj043,0.3673,486
pjxyqwbj391,0.367,487
pjxyqxbl957,0.3669,488
pjxyqxbj277,0.3669,489
pjxxzxkj979,0.3669,490
pjxyqwbj159,0.3667,491
pjxyqwbj755,0.3665,492
pjxyqxbj933,0.3662,493
pjxyqxbl796,0.3659,494
pjxyqxbk298,0.3659,495
pjxyqwbk604,0.3658,496
pjxyqwbk815,0.3657,497
pjxsqxbj916,0.3655,498
pjxsqxbj820,0.3652,499
pjxyqxbj124,0.3651,500
